Timestamp,Username,Action,Path,Details
"2025-10-14T15:45:49.396885","admin01","audit_cleared","/admin/audit/clear","Cleared recent audit log and backed up to audit_log_20251014T154549Z.bak.csv"
"2025-10-14T15:45:49.397887","admin01","audit_clear","/admin/audit/clear","Backup: audit_log_20251014T154549Z.bak.csv"
"2025-10-14T15:46:35.805024","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-14T15:46:37.991755","admin01","page_view","/country/1","Viewed country 1"
"2025-10-14T15:46:44.762134","admin01","page_view","/country/2","Viewed country 2"
"2025-10-14T15:46:49.401162","admin01","page_view","/country/3","Viewed country 3"
"2025-10-14T15:46:54.609496","admin01","page_view","/country/5","Viewed country 5"
"2025-10-14T15:46:57.689252","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-14T15:46:59.328243","admin01","page_view","/country/4","Viewed country 4"
"2025-10-14T15:47:07.086135","admin01","page_view","/map","Viewed map"
"2025-10-14T15:47:17.259010","admin01","page_view","/map","Viewed map"
"2025-10-14T15:47:18.458807","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-14T15:47:25.191129","admin01","logout","/logout","User logged out"
"2025-10-14T15:47:35.639696","investor01","login_failed","/login","Invalid password"
"2025-10-14T15:47:44.671400","investor01","login_success","/login","Successful login"
"2025-10-14T15:47:44.698923","investor01","page_view","/investor","Visited investor dashboard"
"2025-10-14T15:47:52.848618","investor01","logout","/logout","User logged out"
"2025-10-14T15:48:01.231387","research01","login_success","/login","Successful login"
"2025-10-14T15:48:01.243393","research01","page_view","/dashboard","Visited dashboard"
"2025-10-14T15:48:03.387181","research01","page_view","/country/1","Viewed country 1"
"2025-10-14T15:48:20.757703","research01","logout","/logout","User logged out"
"2025-10-14T15:48:49.862050","admin01","login_success","/login","Successful login"
"2025-10-14T15:48:49.880001","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-14T15:48:53.488063","admin01","page_view","/country/1","Viewed country 1"
"2025-10-14T15:48:58.598089","admin01","page_view","/country/2","Viewed country 2"
"2025-10-14T15:49:42.369712","admin01","page_view","/map","Viewed map"
"2025-10-14T15:50:14.163863","admin01","page_view","/map","Viewed map"
"2025-10-14T15:51:21.863882","admin01","logout","/logout","User logged out"
"2025-10-14T15:51:32.307811","investor01","login_success","/login","Successful login"
"2025-10-14T15:51:32.338899","investor01","page_view","/investor","Visited investor dashboard"
"2025-10-14T15:51:37.578844","investor01","page_view","/country/1","Viewed country 1"
"2025-10-14T15:51:43.471955","investor01","page_view","/investor","Visited investor dashboard"
"2025-10-14T15:51:45.705848","investor01","logout","/logout","User logged out"
"2025-10-14T15:51:54.673200","research01","login_success","/login","Successful login"
"2025-10-14T15:51:54.693757","research01","page_view","/dashboard","Visited dashboard"
"2025-10-14T15:52:01.924826","research01","logout","/logout","User logged out"
"2025-10-14T15:52:09.404749","shsjhgshjshahj","login_failed","/login","Unknown username"
"2025-10-14T16:03:29.873879","admin01","login_success","/login","Successful login"
"2025-10-14T16:03:29.886248","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-14T16:03:47.325781","admin01","page_view","/map","Viewed map"
"2025-10-14T16:04:06.038073","admin01","logout","/logout","User logged out"
"2025-10-14T16:04:13.455755","admin01","login_success","/login","Successful login"
"2025-10-14T16:04:13.470127","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-14T16:04:21.051458","admin01","page_view","/country/1","Viewed country 1"
"2025-10-14T16:04:27.908854","admin01","page_view","/country/3","Viewed country 3"
"2025-10-14T16:04:33.557332","admin01","page_view","/country/4","Viewed country 4"
"2025-10-15T17:01:28.848425","admin01","login_success","/login","Successful login"
"2025-10-15T17:01:28.882351","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-15T17:01:37.177159","admin01","logout","/logout","User logged out"
"2025-10-15T17:42:17.883483","admin01","login_success","/login","Successful login"
"2025-10-15T17:42:17.908568","admin01","page_view","/dashboard","Visited dashboard"
