Timestamp,Username,Action,Path,Details
"2025-10-16T09:44:44.406894","admin01","audit_cleared","/admin/audit/clear","Cleared recent audit log and backed up to audit_log_20251016T094444Z.bak.csv"
"2025-10-16T09:44:44.408845","admin01","audit_clear","/admin/audit/clear","Backup: audit_log_20251016T094444Z.bak.csv"
"2025-10-16T09:45:09.316833","admin01","logout","/logout","User logged out"
"2025-10-16T09:45:18.597869","investor01","login_failed","/login","Invalid password"
"2025-10-16T09:45:26.030047","admin01","login_success","/login","Successful login"
"2025-10-16T09:45:26.061501","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T09:46:53.877619","admin01","entity_add","/admin/users/add","Added users 4"
"2025-10-16T09:46:57.742969","admin01","logout","/logout","User logged out"
"2025-10-16T09:47:08.193574","olungaho","login_failed","/login","Unknown username"
"2025-10-16T09:47:23.774358","admin01","login_success","/login","Successful login"
"2025-10-16T09:47:23.794085","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T09:47:47.231687","admin01","entity_edit","/admin/users/edit/4","Edited users 4"
"2025-10-16T09:47:51.072550","admin01","logout","/logout","User logged out"
"2025-10-16T09:47:58.450403","olu","login_failed","/login","Unknown username"
"2025-10-16T09:48:14.549964","admin01","login_success","/login","Successful login"
"2025-10-16T09:48:14.554117","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T09:48:41.305820","admin01","entity_edit","/admin/users/edit/4","Edited users 4"
"2025-10-16T09:48:43.959482","admin01","logout","/logout","User logged out"
"2025-10-16T09:48:58.053939","admin02","login_failed","/login","Unknown username"
"2025-10-16T09:49:07.089553","admin01","login_success","/login","Successful login"
"2025-10-16T09:49:07.102587","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T09:49:17.628377","admin01","logout","/logout","User logged out"
"2025-10-16T09:49:31.463148","admin02","login_failed","/login","Unknown username"
"2025-10-16T09:49:44.366911","admin01","login_success","/login","Successful login"
"2025-10-16T09:49:44.383804","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T09:49:58.595271","admin01","entity_edit","/admin/users/edit/4","Edited users 4"
"2025-10-16T09:50:03.267428","admin01","logout","/logout","User logged out"
"2025-10-16T09:50:12.339953","admin01","login_failed","/login","Invalid password"
"2025-10-16T09:50:31.719423","admin01","login_success","/login","Successful login"
"2025-10-16T09:50:31.733959","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T09:50:53.032864","admin01","entity_edit","/admin/users/edit/4","Edited users 4"
"2025-10-16T09:50:58.876863","admin01","logout","/logout","User logged out"
"2025-10-16T09:51:06.538508","admin01","login_success","/login","Successful login"
"2025-10-16T09:51:06.550671","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T09:51:56.753592","admin01","logout","/logout","User logged out"
"2025-10-16T09:52:03.442654","admin01","login_success","/login","Successful login"
"2025-10-16T09:52:03.456771","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T09:53:21.787404","admin01","logout","/logout","User logged out"
"2025-10-16T09:53:28.999576","admin01","login_success","/login","Successful login"
"2025-10-16T09:53:29.016191","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T09:53:40.487893","admin01","page_view","/country/1","Viewed country 1"
"2025-10-16T09:55:09.302761","admin01","logout","/logout","User logged out"
"2025-10-16T09:55:24.550700","research01","login_failed","/login","Invalid password"
"2025-10-16T09:55:35.918367","investor01","login_success","/login","Successful login"
"2025-10-16T09:55:35.944767","investor01","page_view","/investor","Visited investor dashboard"
"2025-10-16T09:55:45.255565","investor01","page_view","/country/3","Viewed country 3"
"2025-10-16T10:01:12.958860","admin01","login_success","/login","Successful login"
"2025-10-16T10:01:12.973033","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T10:01:19.164175","admin01","page_view","/country/3","Viewed country 3"
"2025-10-16T10:01:26.923297","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T10:01:28.711548","admin01","page_view","/country/1","Viewed country 1"
"2025-10-16T10:01:33.392000","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T10:02:57.323350","admin01","page_view","/country/1","Viewed country 1"
"2025-10-16T10:03:08.073157","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T10:03:10.939826","admin01","page_view","/country/4","Viewed country 4"
"2025-10-16T10:03:31.657195","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T10:43:57.540512","admin01","login_success","/login","Successful login"
"2025-10-16T10:43:57.555626","admin01","page_view","/dashboard","Visited dashboard"
