Timestamp,Username,Action,Path,Details
"2025-10-16T10:44:22.919388","admin01","audit_cleared","/admin/audit/clear","Cleared recent audit log and backed up to audit_log_20251016T104422Z.bak.csv"
"2025-10-16T10:44:22.920439","admin01","audit_clear","/admin/audit/clear","Backup: audit_log_20251016T104422Z.bak.csv"
"2025-10-16T10:44:36.821088","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T10:44:40.237426","admin01","page_view","/dataset","Viewed uploaded dataset"
"2025-10-16T10:44:47.898255","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T10:44:49.493738","admin01","page_view","/map","Viewed map"
"2025-10-16T10:45:27.086561","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T10:47:14.417410","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T10:57:41.791616","admin01","login_success","/login","Successful login"
"2025-10-16T10:57:41.793377","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T10:57:41.937818","admin01","entity_add","/admin/sites/add","Added sites 5"
"2025-10-16T10:59:47.814214","admin01","login_success","/login","Successful login"
"2025-10-16T10:59:47.821249","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T10:59:47.971236","admin01","entity_add","/admin/sites/add","Added sites 6"
"2025-10-16T11:01:52.922893","admin01","login_success","/login","Successful login"
"2025-10-16T11:01:52.949116","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T11:02:14.561056","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T11:03:06.033645","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T11:03:20.194629","admin01","page_view","/map","Viewed map"
"2025-10-16T11:04:28.134378","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T11:04:45.643266","admin01","entity_delete","/admin/sites/delete/5","Deleted sites 5"
"2025-10-16T11:04:50.873319","admin01","entity_delete","/admin/sites/delete/6","Deleted sites 6"
"2025-10-16T11:11:47.031705","admin01","logout","/logout","User logged out"
"2025-10-16T11:11:54.047441","admin01","login_success","/login","Successful login"
"2025-10-16T11:11:54.069847","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T11:12:09.057179","admin01","logout","/logout","User logged out"
"2025-10-16T11:12:16.063207","admin01","login_failed","/login","Invalid password"
"2025-10-16T11:12:23.745366","admin01","login_success","/login","Successful login"
"2025-10-16T11:12:23.777296","admin01","page_view","/dashboard","Visited dashboard"
"2025-10-16T11:13:01.484405","admin01","page_view","/map","Viewed map"
